no,업체ID,업체명,시도,시군구,도로명주소,지번주소,우편번호,위도,경도,좌표_상태,전화번호,전화번호_유형,연락가능,영업상태,인허가일자,보호복_수,수동분무기_수,동력분무기_수,초미립자살포기_수,진공청소기_수,방독면_수,개방자치단체코드,최종수정일시
11,PHMB520135130030042500001,고신자산관리주식회사,경상북도,경산시,경상북도 경산시 성암로21길 37-15 (옥산동),경상북도 경산시 옥산동 727번지 3호,38660,35.828559,128.725517,정상,,없음,False,영업중,2013-03-13,5,5,1,1,1,5,5130000,2022-04-23 17:55:30
12,PHMB520255130030042500004,그로우컴퍼니,경상북도,경산시,"경상북도 경산시 들뫼길31길 30, 201-1호 (유곡동)",경상북도 경산시 유곡동 295-11,38609,35.797843,128.77549,정상,,없음,False,영업중,2025-04-15,2,3,0,1,1,2,5130000,2025-04-23 09:40:07
13,PHMB520145130030042500004,그린환경관리,경상북도,경산시,경상북도 경산시 박물관로7길 4-15 (사동),경상북도 경산시 사동 642번지 16호,38584,35.816326,128.763238,정상,,없음,False,영업중,2014-10-17,5,5,1,1,1,5,5130000,2022-05-18 09:48:07
14,PHMB519935130030042500001,대성기업,경상북도,경산시,경상북도 경산시 진량읍 공단로100길 13,경상북도 경산시 진량읍 신상리 679번지 1호,38456,35.876529,128.820549,정상,,없음,False,영업중,1993-03-19,5,5,1,1,1,5,5130000,2014-02-10 17:34:06
15,PHMB520215130030042500009,더존(The Zone)경산,경상북도,경산시,경상북도 경산시 자인면 한장군로 118,경상북도 경산시 자인면 서부리 395,38575,35.809134,128.819619,정상,,없음,False,영업중,2021-10-07,5,3,0,1,1,5,5130000,2022-04-25 17:33:11
16,PHMB520265130030042500003,리얼클린,경상북도,경산시,"경상북도 경산시 중앙로19길 26, 1층 (중방동)",경상북도 경산시 중방동 849-6,38622,35.825948,128.736077,정상,,없음,False,영업중,2026-06-25,2,4,0,1,1,2,5130000,2026-06-25 16:52:34
17,PHMB520265130030042500001,명문클린비즈,경상북도,경산시,"경상북도 경산시 계양로8길 63, 상가동동 1층 4호 (사동)",,38593,35.81644,128.754119,정상,,없음,False,영업중,2026-04-15,5,5,0,1,1,5,5130000,2026-04-16 14:59:47
18,PHMB520075130030042500001,미래,경상북도,경산시,"경상북도 경산시 삼성현로31길 16, B3호 (옥산동)",경상북도 경산시 옥산동 885,38682,35.818353,128.722343,정상,,없음,False,영업중,2007-08-20,5,5,1,1,1,5,5130000,2025-10-27 15:35:18
19,PHMB520255130030042500001,바인즈,경상북도,경산시,"경상북도 경산시 압량읍 압독2로8길 25-3, KARA 101호",경상북도 경산시 압량읍 신대리 629 KARA 101호,38538,35.838959,128.765208,정상,,없음,False,영업중,2025-02-20,2,3,0,1,1,2,5130000,2025-02-21 17:59:08
20,PHMB520035130030042500001,서울방역,경상북도,경산시,"경상북도 경산시 경청로221길 10 (백천동, 경산백천월드메르디앙 상가동)",경상북도 경산시 백천동 571번지 2호,38647,35.805602,128.738198,정상,,없음,False,영업중,2003-05-03,5,5,1,2,1,5,5130000,2016-02-24 09:09:00
21,PHMB520225130030042500004,세인CGS,경상북도,경산시,"경상북도 경산시 경안로43길 9, 2층 (중방동)",경상북도 경산시 중방동 850-1,38622,35.826655,128.735433,정상,,없음,False,영업중,2022-11-16,5,3,0,1,1,5,5130000,2026-08-24 13:06:23
22,PHMB520175130030042500002,에코씨씨엠 경산지점,경상북도,경산시,"경상북도 경산시 경안로41길 43-5, 광명아파트 상가동 지하1층 (중방동)",경상북도 경산시 중방동 319-83 광명아파트,38626,35.824976,128.732369,정상,,없음,False,영업중,2017-05-11,5,3,0,1,1,5,5130000,2025-06-30 10:32:49
23,PHMB520205130030042500006,에코캐치,경상북도,경산시,경상북도 경산시 계양로16길 102-3 (사동),경상북도 경산시 사동 564-9,38582,35.817697,128.758681,정상,,없음,False,영업중,2020-06-18,5,3,0,2,2,5,5130000,2025-10-31 17:30:39
24,PHMB520245130030042500006,우주피아,경상북도,경산시,"경상북도 경산시 경산로44길 34-1, 2층 201호 (옥산동)",경상북도 경산시 옥산동 734-7,38675,35.827896,128.72896,정상,053-201-5800,유선,True,영업중,2024-10-21,5,3,0,1,1,5,5130000,2024-11-04 14:46:41
25,PHMB520045130030042500001,제로시스템,경상북도,경산시,"경상북도 경산시 백자로 103, 104동 104호 (사동, 계양우방맨션)",경상북도 경산시 사동 595 계양우방맨션,38594,35.814755,128.756553,정상,,없음,False,영업중,2004-12-01,5,5,1,1,1,5,5130000,2023-01-02 15:40:59
26,PHMB520165130030042500004,제로존,경상북도,경산시,"경상북도 경산시 삼풍로6길 24, 발리빌 1층 (삼풍동)",경상북도 경산시 삼풍동 515-21 발리빌,38544,35.821297,128.757068,정상,053-811-0700,유선,True,영업중,2016-08-09,5,3,0,1,1,5,5130000,2026-08-24 13:42:38
27,PHMB519975130030042500001,제로킵스,경상북도,경산시,경상북도 경산시 원효로36길 57 (사동),경상북도 경산시 사동 601번지 15호,,35.814931,128.75359,정상,,없음,False,영업중,1997-07-21,5,5,1,1,1,5,5130000,2026-01-22 15:04:18
28,PHMB520235130030042500005,주식회사 경청,경상북도,경산시,"경상북도 경산시 장산로24길 2, 2층 (삼북동)",경상북도 경산시 삼북동 197-3,38641,35.818,128.737455,정상,,없음,False,영업중,2023-12-06,5,3,0,1,1,5,5130000,2026-07-20 16:59:42
29,PHMB520115130030042500002,주식회사 대진환경,경상북도,경산시,"경상북도 경산시 진량읍 금호강변로 830-1, 203호",경상북도 경산시 진량읍 부기리 715,38440,35.906254,128.822722,정상,,없음,False,영업중,2011-06-01,5,5,1,1,1,5,5130000,2025-11-14 16:22:25
30,PHMB520225130030042500006,주식회사 푸른나무병원,경상북도,경산시,"경상북도 경산시 중방로 11, 1층 (중방동)",경상북도 경산시 중방동 828-25,38611,35.830278,128.735346,정상,,없음,False,영업중,2022-12-29,5,3,0,1,1,5,5130000,2026-08-21 14:34:23
31,PHMB520245130030042500004,클린하우스,경상북도,경산시,"경상북도 경산시 경산로40길 10, 2층 201호 (옥산동)",경상북도 경산시 옥산동 746-4,38676,35.825677,128.72708,정상,,없음,False,영업중,2024-09-11,5,3,0,1,1,5,5130000,2024-09-11 16:38:29
32,PHMB520205130030042500003,태양시스템,경상북도,경산시,경상북도 경산시 계양로16길 72 (사동),경상북도 경산시 사동 570번지 2호,38581,35.819029,128.755672,정상,,없음,False,영업중,2020-05-14,5,3,0,1,1,5,5130000,2023-03-02 17:40:42
33,PHMB520155130030042500003,토탈방제,경상북도,경산시,경상북도 경산시 압량읍 화랑로59길 13,경상북도 경산시 압량읍 부적리 575번지 50호,,35.839583,128.761344,정상,,없음,False,영업중,2015-07-30,5,3,0,2,1,5,5130000,2022-05-26 10:32:18
34,PHMB520255130030042500005,패스트랩 대구방역소독 개미쥐바퀴벌레퇴치 의무소독,경상북도,경산시,"경상북도 경산시 성암로12길 40-15, 가동 101호 (옥산동)",경상북도 경산시 옥산동 883-1,38680,35.820105,128.723699,정상,,없음,False,영업중,2025-05-21,2,3,0,1,1,2,5130000,2025-08-07 15:37:47
35,PHMB520255130030042500002,하나 방역 경북 동부 지사,경상북도,경산시,"경상북도 경산시 하양읍 대학로305길 39-10, 1층",경상북도 경산시 하양읍 금락리 116-193,38436,35.91138,128.818243,정상,,없음,False,영업중,2025-03-12,2,3,0,1,1,2,5130000,2026-08-21 14:20:51
36,PHMB520265130030042500002,한마당,경상북도,경산시,"경상북도 경산시 경산로40길 11, 2층 249호 (옥산동)",경상북도 경산시 옥산동 742-7,38675,35.826064,128.727394,정상,,없음,False,영업중,2026-04-16,5,3,0,1,1,5,5130000,2026-04-16 15:44:44
37,PHMB520245130030042500001,행운컴퓨터&드론,경상북도,경산시,경상북도 경산시 진량읍 공단2로3길 85,,38458,35.87185,128.823105,정상,,없음,False,영업중,2024-02-16,5,3,0,1,1,5,5130000,2024-02-19 09:01:41
38,PHMB520095050041042500005,(주) 우성개발방역,경상북도,경주시,경상북도 경주시 대안길 14-20 (동천동),경상북도 경주시 동천동 599-37,38106,35.85153,129.223818,정상,054-775-0766,유선,True,영업중,2009-12-29,5,5,1,1,1,5,5050000,2020-07-03 13:05:14
39,PHMB520105050041042500006,(주)경포,경상북도,경주시,경상북도 경주시 유림로 53-8 (황성동),경상북도 경주시 황성동,38074,35.870465,129.217636,정상,054-771-9356,유선,True,영업중,2010-12-16,5,5,1,1,1,5,5050000,2015-01-09 10:46:14
40,PHMB520255050041042500001,(주)공신,경상북도,경주시,"경상북도 경주시 원화로 322, 3층 (성동동)",경상북도 경주시 성동동 146-6,38147,35.849397,129.217289,정상,,없음,False,영업중,2025-01-13,5,3,0,1,1,5,5050000,2025-01-13 15:23:19
41,PHMB520225050041042500005,(주)그린에프앤씨,경상북도,경주시,"경상북도 경주시 와산2길 8, (주)그린에프앤씨 (효현동)",경상북도 경주시 효현동 1009-3,38065,35.82902,129.15734,정상,054-771-2117,유선,True,영업중,2022-06-10,5,3,0,1,1,5,5050000,2026-05-26 10:55:06
42,PHMB520205050041042500008,(주)성호머티리얼즈,경상북도,경주시,경상북도 경주시 현곡면 용담로 174,경상북도 경주시 현곡면 금장리 407,38051,35.867408,129.203581,정상,054-700-9222,유선,True,영업중,2020-05-12,5,5,0,2,1,5,5050000,2026-07-08 13:33:28
43,PHMB520225050041042500009,(주)세스코 경북동부지역단,경상북도,경주시,경상북도 경주시 현곡면 용담로 583-2,경상북도 경주시 현곡면 하구리 338-1,38048,35.891579,129.169644,정상,054-745-8781,유선,True,영업중,2022-12-12,5,3,0,1,1,5,5050000,2024-12-10 17:47:09
44,PHMB520165050041042500006,(주)엠케이피이앤씨,경상북도,경주시,경상북도 경주시 양북면 감은로 155 (한수원푸르뫼사택),경상북도 경주시 양북면 1350번지,38121,35.782849,129.448972,정상,054-744-0662,유선,True,영업중,2016-12-20,5,5,1,1,1,5,5050000,2025-02-24 15:19:02
45,PHMB520195050041042500003,(주)지앤씨,경상북도,경주시,"경상북도 경주시 감포읍 동해안로 2229, 2층",경상북도 경주시 감포읍 감포리 597번지 2호,38125,35.804867,129.49681,정상,054-285-7700,유선,True,영업중,2019-03-05,5,3,0,1,1,5,5050000,2025-03-05 13:56:23
46,PHMB520115050041042500001,(주)크린에코,경상북도,경주시,"경상북도 경주시 감포읍 동해안로 2229, 2층",경상북도 경주시 감포읍 감포리 597번지 2호,38125,35.804867,129.49681,정상,054-285-7700,유선,True,영업중,2011-07-22,5,5,1,1,1,5,5050000,2018-11-29 16:53:54
47,PHMB520005050041042500001,경일방역공사,경상북도,경주시,경상북도 경주시 원지길30번길 13 (용강동),경상북도 경주시 용강동,38077,35.866812,129.221193,정상,054-773-5199,유선,True,영업중,2000-02-18,5,5,1,1,1,5,5050000,2015-01-09 10:22:52
48,PHMB520255050041042500004,경주 청소1번지,경상북도,경주시,경상북도 경주시 원화로 385 (황성동),,38088,35.854868,129.21834,정상,,없음,False,영업중,2025-05-13,10,4,0,2,1,5,5050000,2025-05-13 17:47:42
49,PHMB520235050041042500006,경주방역,경상북도,경주시,"경상북도 경주시 충효5길 11, 205호 (충효동)",경상북도 경주시 충효동 2942,38060,35.845261,129.178592,정상,1668-4214,대표번호,True,영업중,2023-07-14,5,3,0,1,1,5,5050000,2024-06-26 11:49:22
50,PHMB520235050041042500003,광신개발 주식회사,경상북도,경주시,"경상북도 경주시 계림로 107, 천년빌딩 2층 (노동동)",경상북도 경주시 노동동 140-9 천년빌딩,38154,35.843903,129.213172,정상,,없음,False,영업중,2023-03-22,5,3,0,1,1,5,5050000,2023-03-22 17:47:34
51,PHMB520105050041042500007,그린시스템,경상북도,경주시,경상북도 경주시 금성로368번길 29 (성건동),경상북도 경주시 성건동 677번지 109호,38135,35.851346,129.20989,정상,,없음,False,영업중,2010-11-24,5,3,0,1,1,5,5050000,2016-12-23 17:28:53
52,PHMB520215050041042500001,나아협동조합,경상북도,경주시,"경상북도 경주시 양남면 나아3길 14, 1층",경상북도 경주시 양남면 나아리 520-1,38219,35.700413,129.469476,정상,,없음,False,영업중,2021-03-09,5,3,0,1,1,5,5050000,2025-04-11 17:46:07
53,PHMB520135050041042500003,닥터케어스,경상북도,경주시,"경상북도 경주시 알천북로 317, 지하1층 (동천동)",경상북도 경주시 동천동 953-2,38112,35.844846,129.232294,정상,,없음,False,영업중,2013-03-13,5,5,1,1,1,5,5050000,2024-11-13 16:36:08
54,PHMB520205050041042500019,대광산업,경상북도,경주시,경상북도 경주시 포석로 560 (배동),경상북도 경주시 배동 948-6,38173,35.791436,129.205481,정상,,없음,False,영업중,2020-10-14,5,3,0,1,1,5,5050000,2020-10-16 10:07:57
55,PHMB520105050041042500002,대신환경,경상북도,경주시,"경상북도 경주시 초당길23번길 23, 1층 (동천동)",경상북도 경주시 동천동 928-9,38112,35.846926,129.233081,정상,054-776-5119,유선,True,영업중,2010-09-30,5,5,0,2,6,5,5050000,2026-03-23 14:34:31
56,PHMB519955050041042500002,동서환경공사,경상북도,경주시,경상북도 경주시 초당길43번길 11-16 (동천동),경상북도 경주시 동천동 733번지 1051호,38112,35.845999,129.233536,정상,054-771-5917,유선,True,영업중,1995-01-18,5,3,0,1,1,5,5050000,2025-03-10 11:12:01
57,PHMB520185050041042500001,명문소독,경상북도,경주시,경상북도 경주시 안강읍 안현로 1554-76,경상북도 경주시 안강읍 안강리 586-17,38007,35.994025,129.229364,정상,,없음,False,영업중,2018-01-25,5,3,0,1,1,5,5050000,2021-11-03 18:52:30
58,PHMB520125050041042500002,명진산업 (주),경상북도,경주시,경상북도 경주시 감포읍 동해안로 2227,경상북도 경주시 감포읍 감포리 595번지 2호,38125,35.804677,129.496723,정상,054-771-8954,유선,True,영업중,2012-08-06,5,5,1,1,1,5,5050000,2023-02-13 15:20:50
59,PHMB520165050041042500005,문주개발,경상북도,경주시,경상북도 경주시 문무대왕면 척현길 9,경상북도 경주시 문무대왕면 어일리 622번지 1호,38121,35.779759,129.444924,정상,054-748-8822,유선,True,영업중,2016-07-28,5,5,1,1,1,5,5050000,2026-05-26 11:43:24
60,PHMB520245050041042500001,미래드론아카데미,경상북도,경주시,경상북도 경주시 강동면 단구안계길 88-6,경상북도 경주시 강동면 단구리 1135,38003,36.04977,129.24494,정상,,없음,False,영업중,2024-05-09,5,3,0,1,1,5,5050000,2024-05-09 17:20:51
61,PHMB520265050041042500001,백산개발,경상북도,경주시,"경상북도 경주시 충현로 13, 상가 제5호 (충효동)",경상북도 경주시 충효동 3292,38057,35.8456,129.171079,정상,,없음,False,영업중,2026-01-30,5,3,0,1,1,5,5050000,2026-01-30 14:26:59
62,PHMB520255050041042500002,보아스시스템,경상북도,경주시,경상북도 경주시 유림로33번길 18 (황성동),,38074,35.87023,129.215868,지오코딩_근사(행정구역중심),,없음,False,영업중,2025-02-07,10,4,0,1,4,5,5050000,2025-02-12 11:54:08
63,PHMB520095050041042500001,부국산업,경상북도,경주시,경상북도 경주시 승삼4길 9-9 (용강동),경상북도 경주시 용강동 1297-8,38092,35.87561,129.230438,정상,054-742-8894,유선,True,영업중,2009-04-22,5,5,1,1,1,5,5050000,2021-02-04 16:41:54
64,PHMB520215050041042500003,사단법인 하나-경주지역자활센터,경상북도,경주시,경상북도 경주시 태종로791번길 6 (황오동),경상북도 경주시 황오동 330,38159,35.841376,129.21476,정상,,없음,False,영업중,2021-06-09,5,3,0,1,1,5,5050000,2026-06-01 15:05:05
65,PHMB520205050041042500013,사회적협동조합 크린존,경상북도,경주시,"경상북도 경주시 양정로 214, 2층 (동천동)",,38107,35.851623,129.224328,정상,054-745-6401,유선,True,영업중,2020-09-08,5,3,0,1,1,5,5050000,2020-09-08 16:43:44
66,PHMB520015050041042500001,삼성종합관리공사,경상북도,경주시,"경상북도 경주시 충효중앙길 94-4, 1호 (충효동, 경동하이츠5차)",경상북도 경주시 충효동 2957 경동하이츠5차,38060,35.844869,129.181294,정상,054-745-0636,유선,True,영업중,2001-12-04,5,3,0,1,1,5,5050000,2021-01-22 08:35:34
67,PHMB520105050041042500003,상록수환경방역,경상북도,경주시,"경상북도 경주시 태종로 207-9(효현동, 학사원룸)",경상북도 경주시 효현동 677-3 학사원룸 101호,38065,35.83294,129.159997,정상,,없음,False,영업중,2010-11-05,5,5,1,3,2,5,5050000,2022-01-05 16:17:49
68,PHMB520095050041042500002,선인크린텍,경상북도,경주시,경상북도 경주시 알천북로 353 (동천동),경상북도 경주시 동천동 945-7,38113,35.843884,129.235892,정상,054-776-3400,유선,True,영업중,2009-05-07,5,5,1,1,5,5,5050000,2026-06-17 12:00:49
69,PHMB520235050041042500009,세진환경,경상북도,경주시,경상북도 경주시 산업로 4377-10 (용강동),경상북도 경주시 용강동 847-2 보우아파트,38076,35.870861,129.223858,정상,,없음,False,영업중,2023-12-29,5,3,0,1,1,5,5050000,2026-06-01 15:02:44
70,PHMB520145050041042500002,아주환경방역공사,경상북도,경주시,경상북도 경주시 원화로 501 (용강동),경상북도 경주시 용강동,38077,35.864912,129.222196,정상,054-774-4297,유선,True,영업중,2014-08-12,5,5,1,1,1,5,5050000,2026-06-18 15:44:42
71,PHMB520265050041042500002,애니젠 경북지점,경상북도,경주시,"경상북도 경주시 동천로 3, 2층 (동천동)",경상북도 경주시 동천동 592-4,38107,35.848784,129.224542,정상,,없음,False,영업중,2026-07-31,2,3,0,1,1,2,5050000,2026-08-04 13:39:30
72,PHMB519865050041042500001,앤가드신라,경상북도,경주시,경상북도 경주시 원효로 275 (구황동),,38150,35.841144,129.231261,정상,054-773-8204,유선,True,영업중,1986-05-29,5,5,1,1,1,5,5050000,2015-01-09 09:29:38
73,PHMB520225050041042500006,에코N경주,경상북도,경주시,경상북도 경주시 태종로 801-3(황오동),경상북도 경주시 황오동 313-1,38159,35.841333,129.215868,정상,,없음,False,영업중,2022-08-12,5,3,0,1,1,5,5050000,2026-07-13 16:36:41
74,PHMB520165050041042500002,엠케피,경상북도,경주시,"경상북도 경주시 양남면 양남항구길 14-8, 1층",경상북도 경주시 양남면 읍천리 332번지,38219,35.69033,129.474536,정상,054-744-0662,유선,True,영업중,2016-01-12,5,3,0,1,1,5,5050000,2026-07-09 10:52:58
75,PHMB520245050041042500002,원 종합환경관리,경상북도,경주시,"경상북도 경주시 승삼신리길 16-11, 1층 (용강동)",경상북도 경주시 용강동 1285-11,38090,35.879099,129.229597,정상,,없음,False,영업중,2024-08-13,5,3,0,1,2,5,5050000,2025-06-02 17:11:46
76,PHMB520225050041042500007,이원패스,경상북도,경주시,"경상북도 경주시 승삼신리길 2, 1층 (용강동)",경상북도 경주시 용강동 1287-5,38090,35.878739,129.228681,정상,,없음,False,영업중,2022-08-12,5,3,0,1,1,5,5050000,2025-05-12 09:05:11
77,PHMB520235050041042500004,주식회사 사람과 환경,경상북도,경주시,경상북도 경주시 태종로685번길 2(노서동),경상북도 경주시 노서동 243-5,38157,35.838844,129.20341,정상,,없음,False,영업중,2023-03-28,5,3,0,1,1,5,5050000,2023-03-29 09:01:42
78,PHMB520195050041042500005,주식회사 청령,경상북도,경주시,경상북도 경주시 양남면 양남항구길 14-8,,38219,35.69033,129.474536,정상,,없음,False,영업중,2019-04-15,5,3,0,1,1,5,5050000,2026-07-09 10:50:50
79,PHMB519845050041042500001,중앙방역공사,경상북도,경주시,경상북도 경주시 동성로 65-7 (성건동),경상북도 경주시 성건동 339-27,38155,35.843781,129.207506,정상,,없음,False,영업중,1984-12-20,5,3,0,1,1,5,5050000,2020-10-07 09:40:53
80,PHMB520165050041042500004,지제이건설(주),경상북도,경주시,경상북도 경주시 양남면 나아2길 7-8,경상북도 경주시 양남면 나아리 405-3,38219,35.700376,129.47162,정상,054-771-8674,유선,True,영업중,2016-03-16,5,3,0,1,1,5,5050000,2023-09-07 17:44:03
81,PHMB520235050041042500001,청솔크린텍,경상북도,경주시,"경상북도 경주시 국민주택길 33, 성건원룸 1층 102호 (성건동)",경상북도 경주시 성건동 620-563,38131,35.856924,129.203521,정상,,없음,False,영업중,2023-02-22,5,3,0,1,1,5,5050000,2025-02-21 17:17:36
82,PHMB520105050041042500005,초록환경,경상북도,경주시,"경상북도 경주시 동천로76번길 2, 101호 (동천동)",경상북도 경주시 동천동 826,38102,35.854378,129.226819,정상,054-773-5868,유선,True,영업중,2010-05-18,5,3,0,1,1,5,5050000,2026-05-06 18:46:11
83,PHMB520225050041042500004,클린마스터,경상북도,경주시,"경상북도 경주시 동문로 14, A동 116호 (성동동)",경상북도 경주시 성동동 386-1,38146,35.845538,129.214766,정상,,없음,False,영업중,2022-05-12,5,3,0,1,1,5,5050000,2022-05-12 17:37:32
84,PHMB520175050041042500005,태경 개발,경상북도,경주시,경상북도 경주시 토용길24번길 27-1 (용강동),경상북도 경주시 용강동 1326-4,38095,35.863098,129.224914,정상,,없음,False,영업중,2017-11-27,5,3,0,1,1,5,5050000,2023-04-13 16:37:46
85,PHMB520235050041042500008,태양방역,경상북도,경주시,"경상북도 경주시 외동읍 산업로 1842, 3층",경상북도 경주시 외동읍 모화리 302-2,38208,35.67859,129.33383,정상,,없음,False,영업중,2023-12-04,5,3,0,1,1,5,5050000,2024-01-30 10:12:12
86,PHMB520235050041042500002,태원 종합 관리,경상북도,경주시,"경상북도 경주시 양남면 동해안로 654, 2층",경상북도 경주시 양남면 나아리 411-3,38219,35.700495,129.470986,정상,,없음,False,영업중,2023-03-02,5,3,0,1,1,5,5050000,2025-02-21 17:09:56
87,PHMB520225050041042500002,투엔방역,경상북도,경주시,"경상북도 경주시 소금강로 49-3, 1층 (용강동)",,38095,35.860157,129.225634,정상,054-773-5671,유선,True,영업중,2022-03-30,5,5,0,4,1,5,5050000,2022-03-30 18:11:29
88,PHMB520195050041042500006,프로세븐,경상북도,경주시,경상북도 경주시 한빛길20번길 37 (성건동),경상북도 경주시 성건동 693번지 2호,38133,35.853664,129.20476,정상,1522-0929,대표번호,True,영업중,2019-07-02,5,3,0,1,1,5,5050000,2020-11-16 13:49:04
89,PHMB520105050041042500001,하나방역,경상북도,경주시,"경상북도 경주시 충효4길 19, 201호 (충효동, 더필원룸)",경상북도 경주시 충효동 2966-3 더필원룸,38060,35.844439,129.182755,정상,054-772-0220,유선,True,영업중,2010-05-18,5,5,1,1,1,5,5050000,2023-07-09 16:34:47
90,PHMB520205050041042500010,"하나방역(PEST119)경주,포항지사",경상북도,경주시,"경상북도 경주시 동문로 64, 장미타운상가 103호 (성동동)",경상북도 경주시 성동동 228-2,38138,35.850513,129.214895,정상,,없음,False,영업중,2020-07-02,5,3,0,1,1,5,5050000,2025-02-21 17:12:29
91,PHMB520205050041042500021,한국방역연구소,경상북도,경주시,"경상북도 경주시 천북면 모아동산길 356, 204호",경상북도 경주시 천북면 동산리 347 주식회사파로시스템,38041,35.901122,129.27056,정상,,없음,False,영업중,2020-12-23,5,3,0,4,1,5,5050000,2023-05-22 17:42:16
92,PHMB520115050041042500003,한서안전(주),경상북도,경주시,"경상북도 경주시 원화로 501, 2층 (용강동)",경상북도 경주시 용강동 1178-3,38077,35.864912,129.222196,정상,,없음,False,영업중,2011-04-14,5,3,0,1,1,5,5050000,2026-06-18 15:46:15
93,PHMB520115050041042500002,한솔종합환경,경상북도,경주시,"경상북도 경주시 건천읍 작원3길 81-7, 2층 1호 (전원타운)",경상북도 경주시 건천읍 천포리 366 전원타운,38178,35.854948,129.09919,정상,,없음,False,영업중,2011-04-14,5,3,0,1,1,7,5050000,2026-07-09 11:22:42
94,PHMB520255050041042500003,황금 빗자루,경상북도,경주시,"경상북도 경주시 동대로22번길 10-1, 1층 (성건동)",경상북도 경주시 성건동 620-508,38131,35.85648,129.204877,정상,054-771-7753,유선,True,영업중,2025-03-19,5,4,0,1,1,5,5050000,2025-03-24 09:28:10
95,PHMB520205200016042500001,성요셉직업재활센터,경상북도,고령군,"경상북도 고령군 성산면 안어실길 75, 성요셉직업재활센터",경상북도 고령군 성산면 어곡리 369번지 성요셉직업재활센터,40118,35.745512,128.363293,정상,054-954-0046,유선,True,영업중,2020-06-01,5,3,0,1,1,5,5200000,2022-11-16 14:09:56
96,PHMB520265200016042500001,엔클린종합관리,경상북도,고령군,"경상북도 고령군 다산면 다산로 714, 2층",경상북도 고령군 다산면 평리리 253-2,40109,35.825539,128.453474,정상,,없음,False,영업중,2026-01-27,5,5,0,2,2,5,5200000,2026-01-28 11:02:50
97,PHMB520235080035042500007,(주)경북관리,경상북도,구미시,"경상북도 구미시 인동48길 5-22, 1층 (구평동)",경상북도 구미시 구평동 459-15,39446,36.091492,128.442046,정상,,없음,False,영업중,2023-09-07,5,5,0,1,2,5,5080000,2025-10-27 17:27:13
