센터ID,시도,소방서명,119안전센터명,시군구,주소,전화번호,위도,경도,좌표_출처,좌표_정밀도,최근접업체명,최근접업체_거리km,반경5km_업체수,반경10km_업체수,최근접_연락가능업체_거리km,반경10km_연락가능업체수
C289,대구광역시,달서소방서,송현119안전센터,달서구,대구광역시 달서구 월배로 262,053-607-2960,35.820021,128.542026,소방청좌표(주소일치),정확,주식회사 한조,0.39,131,309,0.81,149
C290,대구광역시,달서소방서,월성119안전센터,달서구,대구광역시 달서구 학산로 75,053-607-2930,35.831088,128.534756,소방청좌표(주소일치),정확,(주)세스코 대구서부지역단,0.32,149,310,0.32,150
C291,대구광역시,달서소방서,죽전119안전센터,달서구,대구광역시 달서구 와룡로 222,053-607-2990,35.85259,128.537634,소방청좌표(주소일치),정확,(주) 위더피플,0.23,178,359,0.28,166
C292,대구광역시,달성소방서,구지119안전센터,달성군,대구광역시 달성군 구지면 달성2차로 111,053-602-4970,35.640052,128.41898,소방청좌표(주소일치),정확,나투어존 퓨어앤라이프,0.79,2,6,4.04,4
C293,대구광역시,달성소방서,논공119안전센터,달성군,대구광역시 달성군 논공읍 논공중앙로33길 5,053-602-4950,35.730088,128.453023,소방청좌표(주소일치),정확,학교복지진흥 사회적협동조합,0.37,7,21,3.7,11
C294,대구광역시,달성소방서,옥포119안전센터,달성군,대구광역시 달성군 옥포읍 돌미로 93,053-602-4980,35.779313,128.437448,OSM지오코딩(도로중심),근사(도로중심),내일앤사회적협동조합(더봄),0.55,3,40,5.27,18
C295,대구광역시,달성소방서,현풍119안전센터,달성군,대구광역시 달성군 현풍읍 비슬로 480,053-602-4930,35.682628,128.446975,소방청좌표(명칭·도로명일치),정확,주식회사 미르크린,0.91,7,9,0.91,4
C296,대구광역시,달성소방서,화원119안전센터,달성군,대구광역시 달성군 화원읍 화암로 122,053-602-4960,35.79876,128.5018,소방청좌표(주소일치),정확,달성시니어 바이오&클린,0.35,44,187,0.35,78
C297,대구광역시,동부소방서,공산119안전센터,동구,대구광역시 동구 팔공산로 1579,053-605-5361,35.962767,128.697751,소방청좌표(주소일치),정확,주식회사 신광메디칼,1.06,2,38,1.06,20
C298,대구광역시,동부소방서,동촌119안전센터,동구,대구광역시 동구 해동로 180,053-605-5331,35.886696,128.648493,소방청좌표(주소일치),정확,하이비즈랩 주식회사,0.57,108,314,0.57,146
C299,대구광역시,동부소방서,불로봉무119안전센터,동구,대구광역시 동구 팔공로50길 19,053-605-5351,35.921995,128.643942,소방청좌표(주소일치),정확,세존 대구지사,0.4,43,251,0.4,124
C300,대구광역시,동부소방서,신천119안전센터,동구,대구광역시 동구 효신로 13,053-605-5321,35.874583,128.634344,OSM지오코딩(도로중심),근사(도로중심),(주)강진종합관리,0.37,155,359,0.43,166
C301,대구광역시,동부소방서,안심119안전센터,동구,대구광역시 동구 반야월로 291,053-605-5341,35.872165,128.72041,소방청좌표(주소일치),정확,두손방역,0.37,48,171,0.57,63
C302,대구광역시,동부소방서,혁신119안전센터,동구,대구광역시 동구 매여로 76,053-605-5371,35.899777,128.712892,OSM지오코딩(도로중심),근사(도로중심),(주)삼양인터내셔날 대구지점,2.36,32,153,2.36,60
C303,대구광역시,북부소방서,노원119안전센터,북구,대구광역시 북구 노원로 42,053-350-5751,35.89215,128.567391,소방청좌표(주소일치),정확,(주)태성종합관리,0.43,130,373,0.43,172
C304,대구광역시,북부소방서,대현119안전센터,북구,대구광역시 북구 대현로 105,053-350-5770,35.882422,128.610621,소방청좌표(주소일치),정확,(주)대경종합관리,0.17,177,388,0.33,181
C305,대구광역시,북부소방서,산격119안전센터,북구,대구광역시 북구 유통단지로8길 88,053-350-5791,35.906077,128.614247,소방청좌표(주소일치),정확,(주)좋은환경종합관리,0.21,106,331,0.21,160
C306,대구광역시,북부소방서,칠성119안전센터,북구,대구광역시 북구 칠성남로 112,053-350-5721,35.877975,128.592297,소방청좌표(주소일치),정확,숙박방역,0.47,202,383,0.47,176
C307,대구광역시,북부소방서,침산119안전센터,북구,대구광역시 북구 침산남로 149,053-350-5749,35.88835,128.592248,소방청좌표(주소일치),정확,(주)경맥 엠앤씨,0.15,176,376,0.61,174
C308,대구광역시,서부소방서,내당119안전센터,서구,대구광역시 서구 서대구로3길 16,053-320-4495,35.85943,128.555264,소방청좌표(주소일치),정확,청정네이버,0.18,195,380,0.18,176
C309,대구광역시,서부소방서,비산119안전센터,서구,대구광역시 서구 달서로 206,053-320-4496,35.880439,128.572034,소방청좌표(주소일치),정확,크린월드,0.21,179,383,0.21,177
C310,대구광역시,서부소방서,이현119안전센터,서구,대구광역시 서구 국채보상로 119,053-320-4493,35.869083,128.544149,소방청좌표(주소일치),정확,(주)신우종합관리,0.48,171,374,0.48,175
C311,대구광역시,서부소방서,평리119안전센터,서구,대구광역시 서구 달서천로 186,053-320-4492,35.881884,128.5545,소방청좌표(주소일치),정확,해드림 종합관리,0.36,144,370,0.36,173
C312,대구광역시,수성소방서,가창119안전센터,달성군,대구광역시 달성군 가창면 가창로 547,053-607-3900,35.804685,128.623313,OSM지오코딩(도로중심),근사(도로중심),(주)웰빙종합관리,2.04,40,312,2.04,135
C313,대구광역시,수성소방서,고산119안전센터,수성구,대구광역시 수성구 고산로 105,053-607-3890,35.84032,128.704537,소방청좌표(주소일치),정확,AK환경,0.36,54,190,0.36,72
C314,대구광역시,수성소방서,만촌119안전센터,수성구,대구광역시 수성구 달구벌대로 2658,053-607-3840,35.85534,128.652108,소방청좌표(주소일치),정확,홈앤하우스,0.37,122,332,0.89,150
C315,대구광역시,수성소방서,무열로119안전센터,수성구,대구광역시 수성구 무열로 139,053-607-3880,35.87079,128.64815,소방청좌표(주소일치),정확,부성산업(주),0.17,121,329,0.17,150
C316,대구광역시,수성소방서,범물119안전센터,수성구,대구광역시 수성구 청호로 87,053-607-3820,35.825528,128.644384,소방청좌표(주소일치),정확,대호,0.22,69,355,0.9,157
C317,대구광역시,수성소방서,상동119안전센터,수성구,대구광역시 수성구 파동로51길 5,053-607-3860,35.825093,128.609375,소방청좌표(명칭·도로명일치),정확,지이에스(GES),0.92,110,353,0.92,160
C318,대구광역시,수성소방서,수성119안전센터,수성구,대구광역시 수성구 들안로60길 30,053-607-3870,35.856757,128.62085,소방청좌표(주소일치),정확,주식회사 프로텍트,0.59,183,377,0.59,169
C319,대구광역시,수성소방서,황금119안전센터,수성구,대구광역시 수성구 동대구로12길 41,053-607-3850,35.835493,128.626425,소방청좌표(주소일치),정확,주식회사 한영,0.17,115,375,0.52,164
C320,대구광역시,중부소방서,남산119안전센터,중구,대구광역시 중구 달구벌대로 1926,053-601-4571,35.862557,128.575188,소방청좌표(주소일치),정확,그린산업,0.12,224,385,0.62,178
C321,대구광역시,중부소방서,대신119안전센터,중구,대구광역시 중구 큰장로26길 45,053-601-4574,35.868879,128.580762,소방청좌표(주소일치),정확,에코삼성 청소업체,0.25,212,386,0.52,178
C322,대구광역시,중부소방서,명덕119안전센터,남구,대구광역시 남구 명덕로34길 22,053-601-4577,35.855508,128.587211,소방청좌표(주소일치),정확,주식회사 방역을디자인하다,0.39,222,384,0.44,179
C323,대구광역시,중부소방서,봉덕119안전센터,남구,대구광역시 남구 희망로3길 29,053-601-4573,35.84905,128.599296,소방청좌표(주소일치),정확,주식회사 반들,0.26,211,381,0.26,175
C324,대구광역시,중부소방서,삼덕119안전센터,중구,대구광역시 중구 공평로 35,053-601-4575,35.867191,128.599664,소방청좌표(주소일치),정확,신천종합관리(주),0.36,219,393,0.36,183
C325,대구광역시,중부소방서,서문로119안전센터,중구,대구광역시 중구 경상감영길 45,053-601-4572,35.871533,128.58997,소방청좌표(주소일치),정확,(주)대성공사,0.04,219,387,0.04,180
C326,대구광역시,중부소방서,성명119안전센터,남구,대구광역시 남구 대명남로 12-1,053-601-4578,35.833403,128.560152,소방청좌표(주소일치),정확,한국방제공사,0.23,188,348,0.42,163
C913,경상북도,경산소방서,압량119안전센터,경산시,경상북도 경산시 압량읍 김유신로 12,053-813-1119,35.838528,128.769671,소방청좌표(명칭·도로명일치),정확,바인즈,0.41,34,75,2.23,22
C914,경상북도,경산소방서,자인119안전센터,경산시,경상북도 경산시 자인면 금학로 25-11,053-857-2119,35.821562,128.826176,소방청좌표(명칭·도로명일치),정확,더존(The Zone)경산,1.5,2,36,6.23,4
C915,경상북도,경산소방서,중산119안전센터,경산시,경상북도 경산시 펜타힐즈4로 1,053-817-1191,35.830832,128.719607,OSM지오코딩(시설명),정확,고신자산관리주식회사,0.59,56,146,0.9,54
C916,경상북도,경산소방서,중앙119안전센터,경산시,경상북도 경산시 장산로 143,053-813-0119,35.818692,128.740738,소방청좌표(주소일치),정확,(주)나누리엠에스,0.25,39,95,0.25,29
C917,경상북도,경산소방서,진량119안전센터,경산시,경상북도 경산시 진량읍 공단2로 72,053-856-0119,35.871293,128.826875,소방청좌표(주소일치),정확,행운컴퓨터&드론,0.35,6,33,7.4,8
C918,경상북도,경산소방서,하양119안전센터,경산시,경상북도 경산시 하양읍 대곡로 142,053-852-0119,35.927875,128.750526,OSM지오코딩(도로중심),근사(도로중심),(주)삼양인터내셔날 대구지점,6.01,0,47,6.01,21
C919,경상북도,경주소방서,감포119안전센터,경주시,경상북도 경주시 감포읍 동해안로 2153,054-778-0671,35.799014,129.493744,OSM지오코딩(시설명),정확,명진산업 (주),0.68,5,5,0.68,5
C920,경상북도,경주소방서,건천119안전센터,경주시,경상북도 경주시 건천읍 내서로 1065,054-778-0680,35.852915,129.100062,소방청좌표(주소일치),정확,한솔종합환경,0.24,1,15,5.81,8
C921,경상북도,경주소방서,동부119안전센터,경주시,경상북도 경주시 중앙로 59,054-778-0610,35.845184,129.211357,소방청좌표(주소일치),정확,광신개발 주식회사,0.22,39,43,1.11,20
C922,경상북도,경주소방서,보문119안전센터,경주시,경상북도 경주시 경감로 587-8,054-778-0630,35.834949,129.2871,소방청좌표(주소일치),정확,선인크린텍,4.72,2,39,4.72,18
C923,경상북도,경주소방서,불국사119안전센터,경주시,경상북도 경주시 불국신택지4길 4,054-778-0620,35.78385,129.327487,소방청좌표(주소일치),정확,문주개발,10.6,0,0,10.6,0
C924,경상북도,경주소방서,안강119안전센터,경주시,경상북도 경주시 안강읍 안강중앙로 146,054-778-0650,35.993226,129.2163,소방청좌표(주소일치),정확,명문소독,1.18,1,5,10.77,0
C925,경상북도,경주소방서,외동119안전센터,경주시,경상북도 경주시 외동읍 입실로1길 78-15,054-778-0661,35.71686,129.327225,소방청좌표(주소일치),정확,태양방역,4.3,1,1,12.72,0
C926,경상북도,경주소방서,용황119안전센터,경주시,경상북도 경주시 공단로 25,054-778-0640,35.875399,129.2171,소방청좌표(주소일치),정확,(주)경포,0.55,38,43,0.55,20
C927,경상북도,경주소방서,황오119안전센터,경주시,경상북도 경주시 알천남로 276,054-778-0601,35.84414,129.228325,소방청좌표(주소일치),정확,닥터케어스,0.37,37,43,0.43,20
C928,경상북도,고령소방서,다산119안전센터,고령군,경상북도 고령군 다산면 다산로 506,054-950-8111,35.815243,128.434973,소방청좌표(주소일치),정확,엔클린종합관리,2.02,5,78,5.24,35
C929,경상북도,고령소방서,대가야119안전센터,고령군,경상북도 고령군 대가야읍 벽화길 18,054-950-8101,35.724023,128.268698,소방청좌표(주소일치),정확,성요셉직업재활센터,8.87,0,1,8.87,1
C930,경상북도,구미소방서,고아119안전센터,구미시,경상북도 구미시 고아읍 선산대로 821,054-481-3119,36.199612,128.339437,소방청좌표(주소일치),정확,타임원,2.03,4,52,2.03,28
C931,경상북도,구미소방서,공단119안전센터,구미시,경상북도 구미시 수출대로 112,054-461-3119,36.110565,128.376463,소방청좌표(주소일치),정확,J클린,0.13,66,98,0.13,49
C932,경상북도,구미소방서,봉곡119안전센터,구미시,경상북도 구미시 봉곡동로 48,054-452-2119,36.154632,128.315391,소방청좌표(주소일치),정확,늘푸른(주),0.21,37,75,0.21,38
C933,경상북도,구미소방서,상림119안전센터,구미시,경상북도 구미시 상림로 45,054-465-9116,36.090105,128.36038,소방청좌표(주소일치),정확,구미직업재활센터,0.35,54,94,0.35,48
C934,경상북도,구미소방서,선산119안전센터,구미시,경상북도 구미시 선산읍 선산대로 1400-13,054-482-0119,36.239426,128.304988,소방청좌표(주소일치),정확,명성크린케어,0.06,3,9,0.47,5
C935,경상북도,구미소방서,송정119안전센터,구미시,경상북도 구미시 백산로 207,054-452-0119,36.114243,128.351058,소방청좌표(주소일치),정확,아리랑컴퍼니,0.17,62,96,0.17,48
C936,경상북도,구미소방서,옥계119안전센터,구미시,경상북도 구미시 산동읍 산호대로41길 4,054-471-5119,36.17195,128.4492,OSM지오코딩(행정구역중심),근사(행정구역중심),주식회사 더 클린케어,0.83,2,37,6.23,19
C937,경상북도,구미소방서,원평119안전센터,구미시,경상북도 구미시 산업로 174,054-454-6119,36.128746,128.340594,소방청좌표(주소일치),정확,스마일방역,0.17,57,92,0.28,47
C938,경상북도,구미소방서,인동119안전센터,구미시,경상북도 구미시 이계북로 147,054-471-0119,36.106104,128.418382,소방청좌표(주소일치),정확,(주)우진엘엔시,0.25,34,89,0.25,46
C939,경상북도,구미소방서,해평119안전센터,구미시,경상북도 구미시 해평면 강동로 1663,054-474-4119,36.198893,128.391112,소방청좌표(주소일치),정확,선도종합관리(주),3.95,3,52,4.03,28
C940,경상북도,김천소방서,다수119안전센터,김천시,경상북도 김천시 영남대로 1246,054-420-5911,36.127401,128.072863,소방청좌표(주소일치),정확,국제환경,0.71,27,38,1.6,9
C941,경상북도,김천소방서,대광119안전센터,김천시,경상북도 김천시 공단로 152-36,054-420-5921,36.148396,128.137962,소방청좌표(주소일치),정확,김천크리닉,1.8,33,38,2.03,9
C942,경상북도,김천소방서,아포119안전센터,김천시,경상북도 김천시 아포읍 아포공단길 45,054-420-5941,36.166588,128.254988,소방청좌표(주소일치),정확,금오산업개발,4.81,1,49,5.42,27
C943,경상북도,김천소방서,양금119안전센터,김천시,경상북도 김천시 강변로 219,054-420-5901,36.111649,128.123999,OSM지오코딩(도로중심),근사(도로중심),(주)그린종합시스템,0.5,34,38,0.81,9
C944,경상북도,김천소방서,율곡119안전센터,김천시,경상북도 김천시 혁신7로 46,054-420-5951,36.12564,128.17622,OSM지오코딩(시설명),정확,세주,0.71,14,38,0.71,9
C945,경상북도,김천소방서,지례119안전센터,김천시,경상북도 김천시 지례면 장터길 115,054-420-5931,35.990064,128.030583,소방청좌표(주소일치),정확,국제환경,15.59,0,0,15.71,0
C946,경상북도,문경소방서,가은119안전센터,문경시,경상북도 문경시 가은읍 가은로 126,054-559-1912,36.642222,128.062685,소방청좌표(주소일치),정확,(주)스마일,10.43,0,0,12.25,0
C947,경상북도,문경소방서,모전119안전센터,문경시,경상북도 문경시 모전로 173,054-559-1962,36.596267,128.18795,소방청좌표(주소일치),정확,그린써비스,0.66,17,20,0.66,4
C948,경상북도,문경소방서,문경119안전센터,문경시,경상북도 문경시 문경읍 새재로 501,054-559-1922,36.734833,128.102512,소방청좌표(주소일치),정확,청정문경케어,0.41,2,2,17.57,0
C949,경상북도,문경소방서,산북119안전센터,문경시,경상북도 문경시 강동로 57,054-559-1931,36.658079,128.324784,OSM지오코딩(도로중심),근사(도로중심),(주)동진엠엔에스,6.7,0,2,10.61,0
C950,경상북도,문경소방서,점촌119안전센터,문경시,경상북도 문경시 중앙로 305,054-559-1905,36.610349,128.209718,소방청좌표(주소일치),정확,(주)행복한일터,0.39,17,20,1.33,4
C951,경상북도,봉화소방서,명호119안전센터,봉화군,경상북도 봉화군 명호면 도천길 18-46,054-679-3520,36.858228,128.901743,소방청좌표(주소일치),정확,경북봉화방역,2.7,1,1,14.77,0
C952,경상북도,봉화소방서,봉화119안전센터,봉화군,경상북도 봉화군 봉화읍 내성천3길 152,054-679-3500,36.899932,128.735504,OSM지오코딩(시설명),정확,BF스포츠몰,1.0,4,4,1.1,1
C953,경상북도,봉화소방서,춘양119안전센터,봉화군,경상북도 봉화군 춘양면 소천로 22,054-679-3510,36.921806,128.920907,소방청좌표(주소일치),정확,경북봉화방역,9.63,0,1,16.38,0
C954,경상북도,상주소방서,낙동119안전센터,상주시,경상북도 상주시 낙운로 3,054-530-3850,36.410448,128.159061,OSM지오코딩(행정구역중심),근사(행정구역중심),주식회사 태웅에이치엠,0.43,16,18,0.43,13
C955,경상북도,상주소방서,만산119안전센터,상주시,경상북도 상주시 경상대로 3203-11,054-530-3800,36.410448,128.159061,OSM지오코딩(행정구역중심),근사(행정구역중심),주식회사 태웅에이치엠,0.43,16,18,0.43,13
C956,경상북도,상주소방서,청리119안전센터,상주시,경상북도 상주시 청리면 마공공단로152,054-530-3820,36.318492,128.126225,소방청좌표(주소일치),정확,늘푸른,2.45,1,1,10.06,0
C957,경상북도,상주소방서,함창119안전센터,상주시,경상북도 상주시 함창읍 가야로46-1,054-530-3810,36.566473,128.178393,소방청좌표(주소일치),정확,문경에어케어·엠클린·엠피팅,2.03,15,19,2.79,4
C958,경상북도,상주소방서,화서119안전센터,상주시,경상북도 상주시 화서면 상현무동길5,054-530-3830,36.446265,127.94816,소방청좌표(주소일치),정확,꿈마을보호작업장,11.49,0,0,11.49,0
C959,경상북도,성주소방서,가천119안전센터,성주군,경상북도 성주군 가천면 가천로 3,054-930-5633,35.884313,128.167445,OSM지오코딩(도로중심),근사(도로중심),주식회사 상원,11.44,0,0,18.22,0
C960,경상북도,성주소방서,선남119안전센터,성주군,경상북도 성주군 선남면 도성3길 39-17,054-931-3370,35.882382,128.366744,소방청좌표(주소일치),정확,예준산업,4.68,1,9,4.68,3
C961,경상북도,성주소방서,성주119안전센터,성주군,경상북도 성주군 성주읍 주산로 193,054-933-0119,35.933968,128.304763,소방청좌표(주소일치),정확,(주)이씨에스,2.04,3,4,10.64,0
C962,경상북도,안동소방서,도산119안전센터,안동시,경상북도 안동시 도산면 퇴계로 2171,054-856-7119,36.740541,128.833629,OSM지오코딩(도로중심),근사(도로중심),경북봉화방역,11.98,0,0,18.66,0
C963,경상북도,안동소방서,법흥119안전센터,안동시,경상북도 안동시 육사로 301,054-854-6119,36.561048,128.737319,소방청좌표(주소일치),정확,동광기업,0.4,50,51,0.4,23
C964,경상북도,안동소방서,옥동119안전센터,안동시,경상북도 안동시 광명로85,054-853-6119,36.558728,128.694259,소방청좌표(주소일치),정확,경북안동지역자활센터,0.53,50,51,1.32,23
C965,경상북도,안동소방서,용상119안전센터,안동시,경상북도 안동시 마들6길 27,054-821-1119,36.550792,128.761738,소방청좌표(주소일치),정확,(주)태흥산업,0.91,40,51,0.91,23
C966,경상북도,안동소방서,풍산119안전센터,안동시,경상북도 안동시 풍산읍 풍산태사로 1162,054-858-4119,36.580351,128.581893,소방청좌표(주소일치),정확,S-클린,0.62,3,8,0.76,2
C967,경상북도,영덕소방서,강구119안전센터,영덕군,경상북도 영덕군 강구면 강산로 38,054-730-1610,36.351403,129.374727,소방청좌표(주소일치),정확,주식회사 로하스,0.5,2,7,0.5,2
C968,경상북도,영덕소방서,영덕119안전센터,영덕군,경상북도 영덕군 영덕읍 경동로 8401,054-730-1600,36.416718,129.370995,소방청좌표(주소일치),정확,(주)두드림,0.41,6,7,0.61,2
C969,경상북도,영덕소방서,영해119안전센터,영덕군,경상북도 영덕군 영해면 창수영해로 481,054-730-1620,36.542417,129.395716,소방청좌표(주소일치),정확,(주)두드림,14.3,0,0,14.76,0
C970,경상북도,영양소방서,영양119안전센터,영양군,경상북도 영양군 영양읍 영양창수로 188,054-682-3119,36.659566,129.116486,OSM지오코딩(시설명),정확,영양용역방역공사,0.32,4,4,0.37,3
C971,경상북도,영양소방서,입암119안전센터,영양군,경상북도 영양군 입암면 입암로 153,054-682-4119,36.598099,129.087088,소방청좌표(주소일치),정확,영양방역공사,7.29,0,7,7.29,5
C972,경상북도,영주소방서,가흥119안전센터,영주시,경상북도 영주시 선비로 181,054-630-0441,36.820783,128.619012,소방청좌표(주소일치),정확,(주)크린테크,0.2,21,23,0.96,5
C973,경상북도,영주소방서,문수119안전센터,영주시,경상북도 영주시 문수면 적서로 448번길 17,054-630-0401,36.791935,128.633122,소방청좌표(주소일치),정확,키즈월드 영주점,1.8,20,21,1.8,5
C974,경상북도,영주소방서,풍기119안전센터,영주시,경상북도 영주시 풍기읍 기주로 159,054-630-0411,36.873224,128.51913,소방청좌표(주소일치),정확,(주)바른기업,1.36,2,4,8.37,1
C975,경상북도,영천소방서,금호119안전센터,영천시,경상북도 영천시 금호읍 오계공단길 5,054-339-6913,35.91379,128.887462,소방청좌표(주소일치),정확,(주)대산개발,2.65,1,18,2.65,9
C976,경상북도,영천소방서,남부119안전센터,영천시,경상북도 영천시 한방로 176,054-339-6941,35.942401,128.932983,OSM지오코딩(도로중심),근사(도로중심),주식회사 삼양환경,0.57,12,15,2.93,9
C977,경상북도,영천소방서,동부119안전센터,영천시,경상북도 영천시 호국로 187,054-339-6901,35.977563,128.957751,소방청좌표(주소일치),정확,휴먼웰스,0.4,13,15,0.4,9
C978,경상북도,영천소방서,신녕119안전센터,영천시,경상북도 영천시 신녕면 어릿골길 11,054-339-6921,36.038285,128.770867,OSM지오코딩(도로중심),근사(도로중심),팔공방역소독공사,8.81,0,2,11.73,0
C979,경상북도,예천소방서,도청119안전센터,예천군,경상북도 예천군 호명면 도청대로 19,054-653-5119,36.575844,128.467945,소방청좌표(주소일치),정확,비.샤인,1.08,2,12,8.11,3
C980,경상북도,예천소방서,예천119안전센터,예천군,경상북도 예천군 예천읍 양궁로 61-12,054-655-0119,36.648143,128.463426,소방청좌표(주소일치),정확,경북예천지역자활센터,0.28,6,9,0.28,2
C981,경상북도,예천소방서,용문119안전센터,예천군,경상북도 예천군 용문면 용문경천로 1219,054-655-8119,36.700646,128.398209,OSM지오코딩(도로중심),근사(도로중심),청춘클린,6.6,0,6,7.12,2
C982,경상북도,예천소방서,지보119안전센터,예천군,경상북도 예천군 지보면 지보로 247,054-653-3119,36.538492,128.38275,소방청좌표(주소일치),정확,비.샤인,9.66,0,1,13.27,0
C983,경상북도,울진소방서,북면119안전센터,울진군,경상북도 울진군 북면 장터길 69,054-780-1450,37.102776,129.375249,OSM지오코딩(시설명),정확,영동방역,3.17,3,5,3.17,2
C984,경상북도,울진소방서,온정119안전센터,울진군,경상북도 울진군 온정면 백암온천로 1315,054-780-1431,36.721126,129.347577,소방청좌표(주소일치),정확,신나는 빗자루(울진점),0.42,1,4,0.42,3
C985,경상북도,울진소방서,울진119안전센터,울진군,경상북도 울진군 울진읍 울진북로 508,054-780-1401,36.993534,129.394531,소방청좌표(주소일치),정확,울진지역자활센터,0.07,6,12,0.07,7
C986,경상북도,울진소방서,죽변119안전센터,울진군,경상북도 울진군 죽변면 하죽로 1841,054-780-1411,37.054815,129.412559,소방청좌표(주소일치),정확,진영개발,1.14,5,11,2.38,6
C987,경상북도,울진소방서,후포119안전센터,울진군,경상북도 울진군 후포면 실배길 28-1,054-780-1423,36.689165,129.445248,소방청좌표(주소일치),정확,JS ECO,0.62,3,4,0.71,3
C988,경상북도,의성소방서,봉양119안전센터,의성군,경상북도 의성군 봉양면 경북대로 4741,054-830-7801,36.310067,128.5989,소방청좌표(주소일치),정확,쉬리환경,1.59,2,13,7.89,5
C989,경상북도,의성소방서,안계119안전센터,의성군,경상북도 의성군 안계면 안계길 100,054-830-7821,36.382774,128.441113,소방청좌표(주소일치),정확,경신환경,14.52,0,0,19.72,0
C990,경상북도,의성소방서,의성119안전센터,의성군,경상북도 의성군 의성읍 홍술로 187,054-830-7811,36.358274,128.699113,소방청좌표(주소일치),정확,모든방역,0.5,4,4,1.55,1
C991,경상북도,청도소방서,금천119안전센터,청도군,경상북도 청도군 금천면 청려로 4363,054-370-8324,35.690053,128.895256,소방청좌표(주소일치),정확,크린산업개발,14.47,0,0,19.2,0
C992,경상북도,청도소방서,청도119안전센터,청도군,경상북도 청도군 청도읍 중앙로 192-34,054-370-8301,35.64829,128.763277,소방청좌표(주소일치),정확,크린산업개발,1.71,3,3,19.07,0
C993,경상북도,청도소방서,풍각119안전센터,청도군,경상북도 청도군 풍각면 송서로 64,054-370-8311,35.63894,128.617681,소방청좌표(주소일치),정확,태영그린환경,9.95,0,1,14.62,0
C994,경상북도,청송소방서,진보119안전센터,청송군,경상북도 청송군 진보면 청송로 6346,054-874-5119,36.521283,129.039538,소방청좌표(주소일치),정확,영동하우징,0.75,3,7,0.75,3
C995,경상북도,청송소방서,청송119안전센터,청송군,경상북도 청송군 청송읍 굿바들길 19,054-873-1119,36.41994,129.09199,OSM지오코딩(행정구역중심),근사(행정구역중심),청암환경,2.82,6,7,2.82,3
C996,경상북도,칠곡소방서,가산119안전센터,칠곡군,경상북도 칠곡군 가산면 다부원1길 57,054-970-2831,36.045864,128.520496,소방청좌표(주소일치),정확,밀알희망일터,5.83,0,7,5.83,3
